 Procedimentos hospitalares do SUS - por local de internação - Santa Catarina
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"421625 São João do Oeste";6304,26;8172,68;7563,55;7290,55;6887,07;10778,07;9846,99;9781,36;7714,80;7773,38;7539,12;9125,22;5232,47;4634,70;9256,14;10895,32;11537,19;10501,12;11399,96;13991,11;11829,09;12165,53;10201,22;11717,15;10985,32;10433,92;9258,95;8363,84;9844,64;12990,36;12544,74;8967,22;8995,30;8960,64;8529,47;11262,36;8161,53;8543,69;11755,12;11518,50;11794,80;9550,99;15368,57;8227,01;11949,44;9967,52;10217,40;12752,53;7109,47;11063,63;11519,55;9385,91;9978,57;7988,27;7627,10;9842,04;9819,28;8767,17;8046,71;5643,90;9469,07;8482,12;10479,57;11459,75;5272,65;9661,73;11917,59;10073,78;4117,99;9153,33;9531,08;9404,61;10186,83;6996,90;10564,98;8584,28;10120,26;8827,98;13592,29;8290,63;4572,59;8517,51;8183,56;6103,33;6447,25;9715,12;13785,38;6612,55;8577,49;11334,64;6716,42;5598,56;20121,61;18056,88;8197,72;6768,63;3402,24;7321,02;10389,10;11341,68;12952,50;15816,91;12475,02;13804,01;13189,69;12700,77;10907,29;9576,99;10400,84;7858,33;12777,34;12793,11;13590,58;7132,15;11215,49;16445,02;10336,31;14099,22;10487,60;10277,49;11479,13;8862,55;9651,42;10968,82;12577,45;11988,84;15876,74;23144,42;14206,62;11022,73;10348,87;13017,76;10480,72;12792,22;5032,52;3020,26;8321,01;11851,16;10137,54;7249,06;9928,12;8390,61;4892,23;13297,69;5596,22;12026,15;13735,83;2723,52;5910,48;10048,20;7181,57;5274,80;7102,41;9721,83;12183,81;4298,38;4714,88;6992,70;4151,50;1556861,64
"421650 São Joaquim";50131,86;49080,71;51402,52;63998,31;65902,64;50273,18;69900,11;69995,00;68300,19;63489,16;68152,50;65088,12;68957,70;60586,43;70592,24;67906,87;77582,92;63371,37;82956,43;72674,08;89878,11;93341,38;76557,35;80207,14;73142,54;76723,34;85919,28;74745,59;82449,09;78382,15;100142,84;84339,54;83200,75;72083,30;94111,78;84590,60;82829,76;81333,96;81436,64;82278,76;92022,16;79489,08;78136,31;78542,64;73857,81;78182,79;75320,87;80472,39;79245,35;76129,16;100607,35;79701,45;77238,84;104490,21;84648,16;84779,77;80963,85;83764,54;80302,96;81750,78;73905,25;81429,79;98450,56;80467,84;82029,07;91705,08;110308,91;98662,35;94752,97;104073,59;97968,09;96210,86;84275,59;93719,87;93487,23;99705,62;92417,68;107494,65;133456,73;115126,63;127161,49;113774,18;113561,36;98271,81;96315,10;84292,71;90088,32;107784,56;93073,73;100333,64;113818,10;115957,89;124683,10;111210,62;114414,34;85324,34;91834,48;90505,09;89228,10;98090,28;104540,37;83705,77;81171,63;74526,70;81487,02;69503,68;58998,72;67089,44;67008,92;51871,98;77234,80;86528,58;98808,16;97235,11;80719,53;97557,75;90912,37;98399,79;98400,86;81676,07;65605,59;53959,18;60862,97;86821,97;72680,95;90182,46;98761,31;77531,60;127581,07;108622,99;80088,33;111681,56;92916,68;81809,31;78622,32;79813,58;96319,43;123708,41;163146,10;100540,85;93315,80;92417,36;91314,70;102555,34;85275,48;69097,49;68392,93;49691,48;53068,20;36752,07;90780,86;43662,82;67406,81;102298,09;79657,19;36995,30;80580,57;47990,59;261730,34;13648671,64
"421660 São José";608647,47;1851449,47;1964140,55;2175517,35;2344135,11;2274453,35;3220151,54;3442190,28;3118470,95;2424692,81;1992149,84;3112979,35;2885259,53;1377495,57;2859060,36;3068956,73;3590803,35;3105064,34;3217716,41;3215111,58;3308426,95;2735189,52;2185999,95;2735042,00;3061343,03;1447419,89;1759526,15;4100433,60;2981528,67;4025148,00;2807226,44;3791816,67;3442353,88;3329635,78;3152352,15;3203212,34;2869686,14;2369437,56;3331469,61;4184797,72;4340146,09;3345225,30;2913103,44;4045651,66;3378558,72;2858304,00;3573661,95;3608279,42;3300644,75;2231457,11;3514269,81;4026261,36;3583325,58;3671940,07;3421714,75;3981742,21;3466203,59;3012634,17;2184530,19;2878581,25;3121513,58;1938985,85;3533258,12;4164594,25;3523228,77;3436003,89;4151950,92;3379693,68;4315766,29;4261882,72;3817158,96;4130615,46;2472927,82;4106859,29;3559558,64;2897647,08;4042525,23;4519330,46;3352080,12;4725227,41;4472943,83;4080371,04;3712324,42;3584712,87;3762198,98;4202678,03;3561323,66;3850714,04;3252144,66;4665144,83;5241966,35;4587263,09;4978245,11;3955358,49;3059223,17;4236873,84;5055044,71;3993495,99;3131340,00;4124957,26;5262352,58;4981766,56;3416899,73;5250352,02;4309476,54;4819539,37;4538291,06;3083299,39;5499429,37;2738360,07;4856218,20;4084720,48;4799015,61;4456569,70;3981503,15;4560147,39;4267935,19;5006500,44;4524093,28;4098359,50;4373924,77;3432463,52;4851664,71;5138684,33;4400023,32;4681211,97;5091741,36;4781602,81;5672533,16;4514207,66;5397868,80;3893169,18;5118053,86;4981874,42;4501233,38;4542816,74;4838231,47;4075844,38;5166589,79;5383050,54;4529347,39;4900943,23;4339879,57;5362023,67;2940329,67;6035692,89;5916472,77;5094157,72;4427190,86;3833565,44;2400315,45;3271369,40;3703731,44;3236945,08;5230323,91;3770119,59;4747787,88;5068190,04;5525171,08;602671037,20
"421670 São José do Cedro";4195,89;49595,69;23817,31;25316,72;22875,81;28199,24;27784,03;27991,67;24610,01;29552,30;30310,52;42138,01;26601,12;24539,30;30117,01;40093,76;40055,32;36581,94;29545,93;41874,20;29173,14;34478,63;16493,86;21881,35;22476,79;16580,18;24203,03;21429,67;21026,10;23127,09;14733,15;24773,14;20759,74;23341,58;20457,31;28645,78;27603,76;26740,03;21687,64;26326,20;20786,46;17359,54;29027,50;31107,82;21179,12;19873,45;18391,44;25420,62;19721,25;16392,84;16724,35;19823,26;27889,70;17292,37;23599,27;26920,08;19353,62;27333,90;24155,96;23877,20;19620,60;25072,61;24472,64;27801,76;18948,09;25631,54;26499,81;23818,96;23020,01;31279,11;35330,18;32881,05;11358,74;22275,36;18823,64;29743,41;25848,18;36889,15;26428,79;38508,98;40137,77;44762,21;21169,19;33872,44;18861,56;23249,91;29264,04;39923,49;26323,49;29751,82;44604,45;39631,34;35488,02;36249,00;36560,43;30648,38;20160,71;22587,88;26739,71;25849,04;20230,37;33761,38;26422,41;32140,22;24585,17;21342,64;20733,78;27162,27;12720,95;17357,74;23677,05;20467,41;19442,60;27790,66;29295,83;18935,96;28035,81;22601,21;25574,27;24114,43;17715,57;19541,54;24128,56;22882,92;26892,31;32008,64;34991,80;45962,00;29587,10;29249,39;58553,37;47001,26;19310,89;17388,38;23425,25;26002,96;40974,41;34210,01;35663,22;40289,02;51839,22;51808,93;42106,97;14713,24;16721,70;14402,99;23465,72;8911,66;10245,10;14346,88;14094,66;13289,15;52489,62;30140,67;24607,36;18088,00;14835,17;21643,44;18135,71;4226108,14
"421680 São José do Cerrito";-;11162,47;11276,71;10030,37;11799,27;10173,14;11139,00;11107,58;12209,81;12259,69;12142,34;12895,65;12743,02;11807,12;11991,18;12200,83;12690,52;13643,68;12558,44;11774,64;13844,89;13123,97;13438,99;13865,49;13068,75;12319,67;13366,05;12488,02;13654,29;14830,31;16349,91;15794,56;15525,55;14758,53;14163,43;15739,02;17247,70;14547,08;15301,01;17582,47;11038,12;13563,29;11666,95;9929,71;12135,47;10218,76;9937,83;13072,70;10776,57;10204,11;11109,35;10371,86;11888,28;10712,50;11001,59;10489,97;10398,07;10965,22;10473,66;9034,42;10285,53;9522,43;9950,79;9798,27;11536,86;10268,99;11065,93;8486,05;11878,49;11058,64;11016,10;9291,10;12185,38;12049,68;11524,19;12823,20;13124,54;14725,69;11580,93;11731,66;9539,00;10965,21;10328,59;10003,68;7293,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1007638,17
"421690 São Lourenço do Oeste";51224,08;60586,01;57285,92;54190,30;57286,72;51032,79;56989,48;58956,60;73795,10;65831,74;64311,10;70520,06;63309,62;60133,25;62331,80;58147,30;64040,32;80419,58;79313,02;63713,17;121706,79;76473,90;70764,23;92633,56;77429,91;63983,38;75100,04;80235,74;60528,36;96358,75;97910,77;124509,33;72814,00;81618,82;87448,30;108593,30;109015,39;81780,71;73895,04;77464,82;95668,53;95226,47;109080,57;84436,65;71407,92;99357,04;119308,21;58698,42;64832,24;63880,49;80894,17;101067,14;115852,77;97892,41;79386,66;112874,32;79632,82;133056,28;116544,09;144185,94;67701,79;68524,03;50671,41;123435,81;116164,68;118336,36;117044,31;99359,43;118119,98;115864,24;138636,09;95928,96;72935,55;213168,48;73598,17;81210,16;81410,47;113056,04;90710,20;163821,30;210573,55;93145,00;63802,14;110830,29;54985,26;68225,67;76729,94;77267,00;73834,14;57035,93;82941,44;127272,16;85897,78;93467,04;80728,16;69188,59;79073,83;60201,71;62839,45;69218,83;59004,94;81291,25;94404,68;77826,61;66537,79;82602,09;75637,78;68689,76;64097,35;53325,56;70064,20;63374,87;61021,23;72210,16;72484,35;65520,19;83816,32;61944,72;69259,94;64273,47;33038,45;88659,03;77812,57;71523,54;45983,51;111320,34;101881,88;83042,67;81850,67;102402,43;94800,28;63318,73;70121,11;57662,74;52440,55;58430,13;68240,11;75763,82;82803,02;85127,51;95287,84;83569,89;74814,75;67145,84;71255,78;45439,43;72111,04;49071,14;47836,03;47970,69;66637,31;73332,10;64349,15;66704,47;72088,66;75913,17;94533,34;77158,52;89973,31;12972724,42
"421710 São Martinho";1814,12;1624,00;3739,54;3331,83;3160,44;3856,60;3764,65;2372,94;3196,61;3772,52;2389,70;5595,68;5004,42;2050,93;3120,74;2135,44;2355,71;3522,14;2150,61;5622,58;2137,03;3886,55;2649,68;4621,71;3175,46;2516,26;3860,85;3310,92;2996,59;4934,87;5193,79;4235,41;5721,79;4455,68;3535,95;1625,87;6303,80;3232,05;5554,35;5517,22;2902,47;3315,68;2460,53;3418,91;6073,28;2797,84;5243,35;2676,27;3714,39;-;3407,74;2359,50;-;1281,88;2459,51;1620,42;2128,51;2082,98;3524,40;3602,80;1720,41;2379,95;2779,14;1740,09;495,19;-;3854,39;1680,58;5375,14;4005,12;3857,42;2108,10;5829,43;5446,60;2323,69;11972,60;12060,15;11643,03;20863,84;11705,31;27383,74;19676,55;12851,39;6292,33;7413,31;1808,43;3260,58;9315,98;9955,48;12099,98;12318,43;9790,22;11941,81;16634,14;7906,38;7103,64;15685,44;9520,43;11307,19;9393,75;9090,36;7579,01;14337,95;12932,45;9877,58;7624,53;9020,25;8486,14;12136,86;8322,83;13653,32;9727,73;13533,51;6059,11;11291,04;14397,25;11064,15;13028,48;13781,67;12043,64;9868,72;10954,96;12554,45;15215,49;11771,38;7373,18;9663,94;8614,26;10411,01;9514,83;14995,16;9112,81;5935,01;6810,82;9243,85;13605,22;9847,58;8209,91;-;7138,90;8950,19;13129,63;10000,49;13252,85;9236,16;8445,98;7172,92;6471,80;6774,41;10095,95;7772,85;6969,16;10430,96;11448,57;6641,96;10219,05;7317,72;12420,67;13836,55;1122034,08
"421720 São Miguel do Oeste";178206,47;178357,27;196011,90;223375,01;212917,72;163666,33;221496,39;189271,76;215291,79;251988,42;183429,96;243254,44;156209,76;280296,45;186888,01;162348,91;166759,04;163906,60;167399,13;176199,18;175744,10;178967,02;179231,82;161711,73;150768,65;146899,41;152495,69;173125,41;150868,27;149636,88;147763,47;156152,20;134336,50;164076,28;137637,88;136663,58;146949,87;109389,06;83049,95;91389,14;144120,36;155696,16;214017,03;137484,96;195767,27;195446,18;119555,27;286525,58;259470,01;230296,13;242798,17;271445,18;285502,15;277200,05;325220,17;338559,68;362984,35;363709,17;393375,19;426682,84;392060,54;258452,34;359333,86;461717,99;425892,07;500445,55;494053,73;492814,44;427147,72;410972,92;457625,92;414922,65;503288,17;489455,44;429556,08;449553,97;417940,44;468509,47;536796,58;439692,68;543625,19;512088,36;544922,43;552006,50;431846,44;464696,74;470364,52;459907,77;447981,48;570239,27;402996,71;570823,08;483927,51;777398,75;376921,63;463597,24;445400,91;439589,25;309118,98;695809,43;494518,87;486856,12;587327,74;403604,83;513321,41;564616,45;539819,69;449221,31;466947,83;415088,76;543548,73;432031,38;493944,30;620785,40;460025,18;611011,86;357492,94;542121,62;555477,96;542467,40;321292,48;563297,81;411312,66;524089,26;467732,82;465731,50;609967,55;524055,51;443118,35;606889,76;472689,76;536734,65;459376,17;496487,97;339516,97;760289,18;269698,49;773892,76;556227,38;622798,75;575297,38;540697,24;533572,87;534899,51;580533,06;557072,55;642440,22;465550,98;505060,09;523823,85;525684,43;736577,54;913912,25;994924,36;879057,15;1074919,08;884224,41;733444,49;1266543,41;64637146,53
"421725 São Pedro de Alcântara";45483,67;31129,06;27513,12;43095,25;42062,10;48149,60;43778,14;40732,01;44534,85;37769,37;54501,41;31517,37;45503,99;35834,37;52495,73;40608,85;41109,97;37195,61;42826,07;42837,95;43748,03;47335,14;45726,39;39679,49;53549,31;44518,07;51362,53;42254,12;52185,54;64918,67;47647,44;58753,26;36348,83;32241,78;29134,81;26698,84;27610,67;32615,17;24651,12;27964,19;27594,89;63451,44;52775,66;40537,27;47812,04;47048,78;27192,94;38911,99;44888,09;26286,21;34412,44;46398,86;43552,38;29315,85;35357,87;54137,92;30294,45;26474,14;40086,74;64352,85;32228,10;34833,70;27685,22;49152,79;35045,46;27568,63;40459,40;28362,01;74568,39;45886,80;20001,72;44244,65;46483,44;47836,90;48389,11;44103,50;49868,19;44274,17;40590,11;37552,13;43494,83;39428,72;42669,61;44045,38;38809,12;42710,00;23271,99;74287,65;51583,80;44375,54;48007,33;47900,56;43207,92;43372,69;6312,74;81397,25;34206,65;31783,79;54273,50;45064,76;34173,39;38158,35;54953,94;39793,58;44657,09;35389,67;30661,25;46828,71;42141,27;27531,77;39235,55;59953,96;41581,99;40990,59;68372,40;37482,36;57724,68;74353,38;46834,58;60173,15;48854,45;58047,55;32329,37;101617,34;74433,00;57225,66;68966,05;66154,05;66630,07;74034,03;59206,99;50443,94;62564,42;59349,82;67294,45;56572,17;69626,88;67926,77;73851,26;71686,02;72554,77;68519,06;56965,44;81112,42;32638,54;66180,15;81791,53;56841,08;50156,41;54889,75;61981,21;75219,52;54576,12;53648,31;71345,55;42305,94;35697,14;60779,55;83040,48;7545891,87
"421730 Saudades";15080,26;11830,30;14039,17;14363,26;10914,77;15662,94;17608,61;11979,53;9251,24;19347,30;14037,75;19083,18;17867,12;16452,34;16875,61;12031,79;12846,10;16857,42;17365,18;16122,87;30790,70;15955,18;16133,78;16113,86;15494,64;15497,29;17084,26;14628,98;16610,59;17983,95;16173,78;16621,97;15815,35;14932,31;13574,22;17641,12;14737,10;13149,94;18190,04;14566,20;19649,94;16086,95;18017,34;15448,74;22834,19;18418,15;18477,39;16793,32;14193,99;19842,90;15858,61;19457,23;19276,21;21407,94;12150,65;24248,60;15403,98;13098,06;17941,52;16126,85;13891,66;20382,24;18390,73;17738,34;20454,76;23539,42;21577,60;21205,07;19844,74;28816,86;21044,18;12271,81;32004,92;14809,76;16727,54;24001,01;22121,68;24858,13;27981,64;37204,29;24026,86;18606,77;16062,03;21759,53;15760,13;14709,46;20274,03;20169,83;26700,65;25046,71;35287,68;28296,04;25519,51;29812,38;20941,61;20187,64;25979,01;26470,72;28033,13;25366,05;30589,06;36664,24;23449,78;26351,81;16490,05;11740,81;27383,63;29911,71;23094,50;18275,53;19923,03;21831,97;26099,61;26982,54;23162,39;29147,09;16906,65;16154,85;26573,81;27598,93;35484,38;27085,93;30040,20;28478,82;53260,64;43219,46;52674,83;36430,40;45768,72;26929,30;38093,48;25884,56;42620,99;39410,20;37351,06;40425,10;46656,26;35355,51;33015,85;43093,72;35219,36;37896,70;44228,23;33302,56;28251,92;32019,45;34732,38;18676,47;8334,83;21408,15;14071,73;17688,07;28360,24;16615,43;9175,13;15811,17;5147,95;16862,93;9497,47;3560832,28
"421750 Seara";38445,45;43221,01;42029,87;43793,71;40847,49;41702,38;42175,49;42633,95;37076,44;41494,90;38928,63;46242,69;53219,30;37410,82;48739,87;44878,23;43477,71;34307,45;52651,24;54885,07;44688,51;41110,23;40891,91;39686,31;37206,65;39815,37;37643,21;33194,14;36377,84;35825,37;32450,36;54316,81;46044,43;37312,45;33919,21;41958,67;40744,20;39614,50;40641,96;40968,04;36780,35;38765,49;45568,72;42429,04;55327,63;42732,64;35507,07;33227,13;37864,81;38691,59;37778,01;34936,35;36227,39;40679,43;44018,35;50775,25;40626,16;51388,93;44883,82;29591,74;45964,17;36601,13;45729,94;43479,71;44304,31;42499,08;37527,37;46069,86;50230,10;48735,44;65392,78;39228,11;40110,76;37412,46;44102,74;43518,09;61333,14;50109,18;58291,02;65945,98;44032,33;47915,44;44805,79;30888,21;32538,99;34641,96;33852,51;37662,56;49439,60;32987,48;45175,70;-;30955,15;37614,72;38789,44;23518,23;24518,50;33740,99;19346,03;23049,57;24276,68;36494,08;33103,34;38845,11;35520,04;35023,63;34689,75;27199,97;24088,61;17371,51;24034,91;22757,01;34363,12;23377,08;26351,31;20424,53;35346,73;23434,05;27302,51;25470,63;16740,53;21950,33;21153,07;36653,09;26157,35;36887,82;35544,07;43071,98;48246,21;31958,88;40537,15;27505,18;52841,61;19446,68;27263,83;38394,00;31059,24;55750,92;46066,47;50619,16;55925,11;43815,00;44181,35;55598,14;32791,51;40465,24;44522,91;26481,09;26190,22;28322,43;33773,97;36455,96;33892,83;50595,49;33447,89;42565,70;36439,03;39533,55;-;6074749,93
"421770 Sombrio";30684,03;38543,25;46428,30;30079,19;39651,53;48683,66;42297,85;47224,13;53273,65;44024,88;37347,85;57958,57;52723,51;45861,93;41028,33;48728,99;60051,14;47485,69;64454,21;61502,49;73079,18;58975,94;58755,28;66730,99;54115,87;56544,78;48799,83;44588,48;47096,41;52501,96;57572,47;56724,30;58741,45;50861,23;51448,76;72097,15;55412,92;56569,62;40143,10;56191,93;52705,88;39951,90;62105,59;52808,59;54512,40;44982,93;50240,64;46227,36;48557,74;42961,17;31127,19;32497,39;36280,79;37507,06;49049,17;34064,65;49791,76;40193,10;34019,34;49131,41;33186,47;28184,43;40067,96;40536,02;72808,59;76436,45;100853,79;116492,27;98197,56;99967,35;56700,08;51615,07;23456,56;28939,83;27790,16;27529,92;13226,93;37246,44;31352,11;18516,61;3736,54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1496,95;7669,32;39426,71;29106,99;29180,06;33600,09;30328,77;19967,41;5592,40;7699,16;8226,19;8900,59;1573,26;12564,76;31517,12;58185,94;36439,80;40518,15;59442,33;3679,74;2121,74;8083,56;9622,03;712,42;38490,49;3191,89;2733,66;18743,51;45891,78;56351,35;37950,54;45385,09;24822,96;74196,05;41203,23;44131,64;65841,27;90559,39;40541,51;94494,59;54034,24;61792,60;109690,07;125087,09;87903,92;78622,92;70264,17;51541,23;16518,45;11252,91;3490,17;4033,17;9476,07;94959,56;36736,91;32644,38;31838,25;10718,37;42361,68;108404,53;6222097,16
"421780 Taió";6276,00;40892,65;32591,10;24805,17;18348,07;29894,26;38080,04;33160,59;35958,83;30728,80;27822,61;23549,54;7962,77;13172,50;8321,27;14794,60;29262,40;32129,78;30429,19;25330,51;23639,90;33585,30;28777,42;20314,16;13727,60;20827,22;24958,42;24793,60;39702,86;30204,12;28076,62;27172,79;41737,86;31889,03;27358,28;41069,37;24668,39;20769,60;25165,93;22812,44;38665,99;30265,57;34584,57;33854,97;30555,57;36823,28;32114,92;29205,65;24193,26;33095,74;25744,86;24632,04;28038,83;20482,66;29657,59;25920,25;37854,03;24762,75;26400,83;25632,52;17710,20;19575,90;26678,21;22308,78;27336,81;23288,18;22093,24;22086,81;28245,32;25329,26;10961,50;30968,83;26854,31;20871,55;32317,61;36376,62;34550,53;40125,65;10755,80;50794,16;32298,23;24031,18;36777,60;15233,80;16535,57;44574,26;23228,20;37233,79;33389,18;33624,54;35468,25;28493,37;31760,29;26157,96;18551,45;25556,18;16312,70;23415,62;21173,18;20656,80;29089,20;29093,62;22594,03;23485,03;19851,23;16147,03;21007,29;20010,24;11774,74;13601,95;17745,78;24514,77;19318,96;39392,32;23488,09;25392,44;47489,83;52479,13;74464,62;69430,26;66084,22;65449,29;57423,59;46194,49;47301,26;54945,38;43889,19;41670,61;48519,42;60596,96;63974,36;70075,83;60815,88;46061,19;63581,30;77851,79;62619,72;67877,62;72409,08;76844,13;68529,44;98986,40;76389,01;53754,85;65198,70;63170,89;48140,03;32543,46;30169,39;38137,01;36044,19;37068,76;36064,45;40186,91;41597,08;32490,61;42452,49;47902,72;36157,25;5440488,40
"421790 Tangará";-;17487,48;13360,69;17430,47;18219,49;17052,37;20569,32;16695,72;17095,31;16960,42;17291,12;14651,10;17626,28;20124,68;21247,93;20066,89;16737,10;15860,58;20474,44;29162,08;20943,53;20437,68;21303,05;20267,34;22497,09;15041,51;20070,73;23382,77;22184,88;21919,03;16951,66;25246,90;17673,07;18434,30;15197,26;21387,90;24338,71;21186,64;20890,22;22486,12;21893,15;18116,68;19226,78;18121,12;16492,61;18104,03;20443,04;20558,50;16386,20;10630,14;17833,96;17596,24;20288,32;18684,14;19391,35;16633,84;17111,11;18233,97;20988,63;15478,07;17820,76;15718,79;21890,40;15089,56;16990,84;18910,24;21140,89;21800,25;20502,53;21226,83;22486,88;13889,44;14368,00;15877,53;13494,32;22917,08;33246,83;21844,99;22574,54;27446,64;24254,37;18787,28;19005,67;16234,61;10597,40;11234,54;27935,19;18611,72;26535,16;10830,51;14851,28;16116,93;18779,05;2915,38;15659,39;12685,60;11109,00;13644,75;11118,24;12344,70;17937,73;14807,89;12015,90;10930,26;11788,73;16045,14;8631,80;8071,92;11897,87;9255,98;10179,31;11048,69;14501,01;18021,96;11506,48;6901,65;7931,01;3559,57;5517,74;-;8867,17;606,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;603,48;614,42;-;4426,98;4428,79;1763,26;3953,11;35404,07;2105872,19
"421800 Tijucas";-;67442,00;130501,14;51781,87;82042,46;71638,96;84895,85;84892,05;72063,82;69726,13;59024,78;105310,34;74073,34;77661,64;84412,52;62782,89;100581,71;115307,70;100761,36;122812,52;90638,32;95941,10;86722,53;69744,04;82423,65;87150,36;100946,13;94976,89;88974,01;88234,67;95060,33;98081,35;112043,00;88424,33;92090,54;105216,17;80033,52;92184,62;110368,84;94324,99;92437,50;78957,93;80401,34;94839,75;89858,45;95682,38;97358,84;80714,34;66633,33;69253,79;100295,84;88809,56;94909,97;78147,07;92964,95;85036,85;80735,74;86293,05;82946,02;69385,02;68383,14;76288,55;81995,47;72992,33;74752,58;63711,03;85749,28;101256,20;87542,72;87082,28;131933,25;92485,20;85048,69;85791,97;97366,19;64688,24;67046,34;69313,61;81837,46;99748,78;90648,88;103497,92;80248,13;58799,68;65914,20;78258,97;79529,70;101168,54;91441,94;91521,67;103372,09;94824,75;102407,27;100400,05;107229,81;91667,72;78263,61;95639,06;107684,38;100117,32;95477,42;75461,23;93465,58;75340,40;85485,95;74404,60;63611,15;55093,19;62103,20;48747,55;56246,91;38132,87;46376,20;52306,87;38340,46;65242,07;46104,98;46001,44;51822,34;35143,40;41319,22;29214,41;30808,76;40952,54;35852,25;44627,56;48167,33;30574,34;32899,17;36396,83;28124,28;37734,55;40463,80;37864,27;31164,21;40804,85;35122,08;46416,65;39333,57;55896,69;46692,29;50951,40;50345,80;33555,94;26932,45;30013,05;22969,40;40331,06;31757,23;30580,21;51480,06;35975,47;27756,39;24068,05;186877,86;58243,10;36035,27;50355,68;38432,92;11516601,99
